# quest_greeting_locale (Greeting -- NPC/GO popup text shown before quest accept dialog):
# BLOCKED for the rest, no source found. Checked Wowhead NPC pages
# (wowhead.com/wotlk/tw/npc=<entry>) -- gossip/greeting text isn't in static HTML there
# either (same limitation as RewardText/CompletionText). Checked whether this content is
# DBC/client-extractable (2026-07-12) -- no, gossip/greeting text is server-sent dialogue,
# never baked into static client DBC/MPQ files (confirmed: no such DBC exists in WotLK's
# catalog, and this project's own zhTW client's WDB play-cache only reflects what our own
# server already sent, so it's circular, not an independent source).
# 8 entries resolved 2026-07-12 by cross-referencing against npc_text: found their English
# Greeting text is an EXACT duplicate of an already-translated npc_text entry, so the
# existing npc_text_locale zhTW translation was copied over (2993, 4080, 4201, 4454, 4498,
# 4630, 5636, 8256). Remaining 118 have no npc_text match either -- genuinely blocked.
entry	type(0=creature,1=gameobject)	name	linked_quests
10260	0	0	4729,4862
10321	0	0	6570,6582,6583,6584,6585,6601
10428	0	0	4770,4865,5062,5088
10537	0	0	4542,4841,5064,5147,5361
10926	0	0	5142,5149,5152,5241,5601,5721,5942
11039	0	0	5251,5262,5263,5264,5503,5508,5509,5510,6030
11259	0	0	5361,5386
1139	0	0	255,256
1141	0	0	212,1260,1271
11596	0	0	5561,5821,5943
1254	0	0	432
1267	0	0	384,4126,4128
138492	1	Shards of Myzrael	635,642,656
1440	0	0	337,343,344,538,542
16281	0	0	9247,9295,9299,9300,9301,9302,9304
16361	0	0	9085,9153
16478	0	0	9260,9292
16494	0	0	9265,9310
16786	0	0	
16787	0	0	
16788	0	0	
1776	0	0	1389,1392
186420	1	Syndicate Documents	510,511
1977	0	0	433
2055	0	0	447,450,451,513,515,1109,1113,2938,12787
2076	1	Bubbling Cauldron	584,585,586,588,1261
2092	0	0	708,1179
2229	0	0	498,503,506,507,508,533,1361
2276	0	0	505,510,512,522,523,525,537
2277	0	0	511,514,538,540,542,551,554
2285	0	0	543,4765,4766
237	0	0	64,109,184
2487	0	0	599,604,608,669,670
2497	0	0	581,582,584,592,638,2932
2519	0	0	588,589,591,592,596,598,629,1240
253	0	0	60,61,107,112,114
2546	0	0	1036,4621,9272
264	0	0	56,57,58,79,80,97,98,227,228,229
267	0	0	66,67,68,69,80,97,265,266,1041,1042
273	0	0	78,79,156,158,159,266,453
288	0	0	5,163,240,268,453
289	0	0	133,134,148,157,158,159,160,165
2930	0	0	4740,4811,4812,4813
294	0	0	74,75,78,109,1666,1667
2981	0	0	752,753,755,757,763,781,24857
2988	0	0	749,751,764,765
3050	0	0	768,769
313	0	0	94,178,249
3139	0	0	784,825,830,831,837
3337	0	0	840,842
3338	0	0	842,844,845,860,881,903,905,3261
3339	0	0	891,898
3391	0	0	887,888,890,892,895,1178,1180
341	0	0	89,125,345,347
3419	0	0	853,962,1064,1065,1067,1086
3441	0	0	860,861,1130,1131,1136,1205
3446	0	0	865,866,1069,1221,1270,1491
3453	0	0	890,892,896,1039,1040,1111,1112,1492
3519	0	0	937,938,940
3567	0	0	932,2438,2459
3616	0	0	944,948,950,951,952,961
3649	0	0	954,958,1442,4761,4762,4763,9633,10752
3663	0	0	967,970,973,976,981,1140,1167
3666	0	0	983,1579,1580
3845	0	0	1008,1134,4581
3847	0	0	1010,1020
3848	0	0	1011,1012,4261,4581,9519
3995	0	0	1058,1060
4046	0	0	1063,1064,3518,3562,5062,5088
4047	0	0	1061,1262,7541
4049	0	0	1061,1062,1063,1068
4077	0	0	1071,1072,1074,1075,1077,1079,1080,1085,1091,2931
4078	0	0	1075,1076,1077,1078
4452	0	0	1110,1111,1112,1114,1115,1117,1118,1119,1120,1121,1122,5762
4453	0	0	1105,1107,1179,2769,2770
4456	0	0	
4485	0	0	1145,1146,1184,1361,2976,2981,3504,3507
4500	0	0	1166,1170,1171,1173
469	0	0	200,202,215,329,330,331,574
4791	0	0	1201,1202,1238,1239,1240,1261,1262,11186,11213,11215
4792	0	0	1203,1206,1218,11177,11225
4794	0	0	1204,1222,1258,1260
5204	0	0	232,238,243,864,1358,1359,4133,4769
5393	0	0	1395,1423,1425
5394	0	0	1418,1419,1420
5396	0	0	1382,1385
5412	0	0	1367,1368
5591	0	0	698,1430
5598	0	0	1429,1444,1446
5637	0	0	1453,1457,1467
5641	0	0	1432,1433,1434,1436,1484,1488
5767	0	0	1486
5770	0	0	914,1490,2965,2966,2967,2968,4883,4987
5887	0	0	1463,1516,1517,1518
5888	0	0	1462,1519,1520,1521
6031	0	0	1578,1618,1680,1681,1682
6169	0	0	1704,1708,1709,2769,2924,2925
6171	0	0	1641,1642,1643,1649,1650,1652,1653,1780,1781,1788,1790,1793,2998,3681,4485,4486,7638
6179	0	0	1645,1646,1647,1778,1779,1785,1789,2997,2999,3000
6569	0	0	2039,2041,2927
6579	0	0	2040,2041,2928
663	0	0	173,221,222,223
6868	0	0	2202,2203,2258,2318,2338,2339,2340,2341
6946	0	0	2260,2281,2298,2300
6986	0	0	81,649,2283,2284,2340,2341
715	0	0	194,195,196,197,208,583,5762,5763
7407	0	0	243,379,654,841,864,1690,1691,2768,2781
7802	0	0	2760,2761,2762,2763,2764,2765,3621,3625,3626
7876	0	0	2864,2865,3362,4504
7882	0	0	2875,2876,8366
7900	0	0	2982,3445
8379	0	0	3561,3565,8234,8235,8236,8251,8252,8253,9362,9364
900	0	0	91
9078	0	0	4133,4134,4768,4769,7201
9081	0	0	3981,4724
9177	0	0	3823,3824,3825,4283,4286
9536	0	0	4123,4296
9562	0	0	4701
